"40.735363,-73.675186"
"40.71365,-73.998474"
"40.7187,-74.0088"
"40.892735,-74.11475"
"40.81419,-74.21846"
"40.72886,-74.00796"
"40.865906,-73.89483"
"40.683144,-73.976135"
"40.70715,-73.9903"
"40.733738,-73.98986"
"40.733467,-74.173294"
"40.9278,-73.85321"
"40.740974,-73.78434"
"40.81385,-74.218056"
"40.878906,-74.143364"
"40.751633,-73.93981"
"40.740517,-74.00581"
"40.760426,-73.968056"
"40.669117,-73.94284"
"40.761684,-73.98544"
"40.72306,-74.0641"
"40.728962,-73.98937"
"40.743465,-74.02894"
"40.773624,-73.9641"
"40.728706,-73.98952"
"40.709198,-74.011185"
"40.758385,-73.98824"
"40.83818,-73.941505"
"40.760345,-73.98722"
"40.728867,-73.90047"
"40.82949,-73.92694"
"40.75793,-73.98719"
"40.72096,-73.99569"
"40.82588,-73.88794"
"40.752556,-73.91411"
"40.749264,-73.99426"
"40.72989,-74.00061"
"40.69221,-73.98875"
"40.738525,-73.991875"
"40.709774,-74.01455"
"40.91734,-73.84037"
"40.72542,-73.99002"
"40.7846,-73.977356"
"40.76185,-73.99015"
"40.85693,-74.14568"
"40.760258,-73.99093"
"40.865406,-73.92706"
"39.029617,-74.94122"
"40.729565,-73.984436"
"40.742393,-74.00331"
"40.785877,-74.01347"
"40.748375,-73.939514"
"40.834824,-73.88905"
"39.87298,-75.27465"
"40.734715,-73.99996"
"40.73545,-73.85037"
"40.729813,-73.958466"
"40.724632,-73.99553"
"40.71965,-73.99967"
"43.102703,-77.54125"
"40.600456,-73.93692"
"40.770252,-73.9601"
"40.74591,-74.00536"
"40.786854,-73.97768"
"40.733955,-74.00039"
"40.725986,-73.98968"
"40.70579,-73.93704"
"40.71594,-73.986824"
"40.916748,-74.05872"
"40.720467,-73.99688"
"40.66891,-73.78165"
"40.74487,-73.983986"
"40.747986,-73.987274"
"40.743187,-73.9913"
"40.71781,-73.9576"
"40.72817,-73.987915"
"40.71598,-73.962036"
"40.729015,-73.97807"
"40.734592,-73.870674"
"40.747063,-74.005196"
"40.716362,-73.99716"
"40.74764,-73.98635"
"40.77183,-73.93009"
"40.72165,-73.997536"
"40.757404,-73.793495"
"40.743484,-74.00755"
"40.71885,-73.98683"
"40.686398,-73.97455"
"40.760666,-73.99495"
"40.94814,-74.071175"
"40.727516,-73.98342"
"40.71304,-73.94419"
"40.67881,-73.97381"
"40.729362,-73.987206"
"40.714226,-73.95259"
"40.78215,-73.82944"
"40.756992,-73.98908"
"40.816147,-73.98043"
"40.723404,-73.99939"
"40.729046,-73.98858"
"40.737106,-74.00126"
"40.69332,-73.97241"
"40.823166,-73.94252"
"40.47797,-74.29691"
"40.716007,-73.965485"
"43.211025,-77.46484"
"40.67997,-73.906586"
"40.889713,-74.271225"
"40.805527,-74.248024"
"40.96374,-74.24622"
"40.908096,-74.552536"
"40.8233,-73.941864"
"40.836143,-74.15106"
"40.74526,-73.99248"
"40.774384,-73.954254"
"40.72922,-73.98914"
"40.696777,-74.182045"
"40.639652,-74.03232"
"40.781673,-73.97946"
"41.529415,-73.89931"
"40.69988,-73.91112"
"40.730103,-74.006905"
"40.75816,-73.98772"
"40.744698,-73.999115"
"40.78664,-73.97564"
"40.76184,-73.99368"
"40.721046,-73.9872"
"40.729588,-73.9988"
"40.732647,-73.98586"
"40.739723,-73.78956"
"40.76121,-73.99414"
"40.84371,-74.12985"
"40.808075,-73.94556"
"40.70508,-73.93365"
"40.70437,-73.800735"
"40.743767,-74.000854"
"40.716778,-74.00814"
"40.71563,-73.9964"
"40.675842,-73.86659"
"40.90093,-73.82726"
"40.75257,-73.994606"
"40.77352,-73.95554"
"40.725216,-74.00357"
"40.782993,-73.95891"
"40.7872,-74.04624"
"40.67064,-73.95906"
"40.750328,-73.98935"
"40.84606,-74.15561"
"40.93467,-73.90101"
"40.571438,-74.111145"
"40.75929,-73.98094"
